cohort,dimension,category,separately_plotted,call_count,task_count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
Terminal-Bench All,first_effective_command_head,7z,False,1,1,11.302947998046875,11.302947998046875,11.302947998046875,11.302947998046875,11.302947998046875
Terminal-Bench All,first_effective_command_head,R,False,1,1,165.35019874572754,165.35019874572754,165.35019874572754,165.35019874572754,165.35019874572754
Terminal-Bench All,first_effective_command_head,Rscript,False,9,3,35126.428842544556,130045.61705589297,165735.79344749448,194287.93456077576,201425.96983909607
Terminal-Bench All,first_effective_command_head,apt-cache,False,8,6,1039.5288467407227,1825.2246856689449,2436.6859436035147,2925.8549499511714,3048.147201538086
Terminal-Bench All,first_effective_command_head,apt-get,False,46,29,5637.254595756531,22271.892070770264,31122.242271900177,96900.78032016731,133704.97846603394
Terminal-Bench All,first_effective_command_head,aria2c,False,2,1,122789.22235965729,218666.40236377716,230651.04986429214,240238.76786470413,242635.69736480713
Terminal-Bench All,first_effective_command_head,attack.py,False,1,1,18555.765390396118,18555.765390396118,18555.765390396118,18555.765390396118,18555.765390396118
Terminal-Bench All,first_effective_command_head,awk,False,2,2,249.1908073425293,418.6703681945801,439.8553133010864,456.8032693862915,461.0402584075928
Terminal-Bench All,first_effective_command_head,aws,False,2,1,1380.380392074585,2482.566213607788,2620.3394412994385,2730.558023452759,2758.112668991089
Terminal-Bench All,first_effective_command_head,bash,False,61,21,233.9489459991455,42232.48076438904,74602.35142707825,172221.94004058832,205987.9367351532
Terminal-Bench All,first_effective_command_head,cargo,False,5,1,903.2044410705566,4544.61350440979,4784.234952926636,4975.932111740112,5023.856401443481
Terminal-Bench All,first_effective_command_head,cat,False,14,12,9.570717811584473,678.8657188415536,2768.6867117881757,5474.933707714077,6151.495456695557
Terminal-Bench All,first_effective_command_head,cbc,False,1,1,300006.3478946686,300006.3478946686,300006.3478946686,300006.3478946686,300006.3478946686
Terminal-Bench All,first_effective_command_head,chmod,False,18,16,103.22928428649902,4875.447463989261,10275.483167171462,17768.559653758984,19641.828775405884
Terminal-Bench All,first_effective_command_head,chsh,False,1,1,28.859376907348633,28.859376907348633,28.859376907348633,28.859376907348633,28.859376907348633
Terminal-Bench All,first_effective_command_head,cli_tool,False,1,1,34.487247467041016,34.487247467041016,34.487247467041016,34.487247467041016,34.487247467041016
Terminal-Bench All,first_effective_command_head,cmake,False,11,5,1993.2081699371338,86565.5677318573,150477.49054431915,201607.0287942887,214389.413356781
Terminal-Bench All,first_effective_command_head,command,False,13,12,6.062746047973633,2235.353899002076,12348.138713836635,24175.551967620828,27132.405281066895
Terminal-Bench All,first_effective_command_head,conda,False,9,2,10365.436315536499,66534.046125412,79884.9781513214,90565.72377204895,93235.91017723083
Terminal-Bench All,first_effective_command_head,configure,False,1,1,8635.06269454956,8635.06269454956,8635.06269454956,8635.06269454956,8635.06269454956
Terminal-Bench All,first_effective_command_head,coqc,False,1,1,277.24575996398926,277.24575996398926,277.24575996398926,277.24575996398926,277.24575996398926
Terminal-Bench All,first_effective_command_head,count_corners,False,1,1,2098.036527633667,2098.036527633667,2098.036527633667,2098.036527633667,2098.036527633667
Terminal-Bench All,first_effective_command_head,cp,False,9,8,467.6487445831299,9875.105237960817,13353.96199226379,16137.047395706175,16832.818746566772
Terminal-Bench All,first_effective_command_head,curl,False,23,9,29.826879501342773,17562.383937835708,542166.6677474967,600026.3078117371,600029.8683643341
Terminal-Bench All,first_effective_command_head,dd,False,1,1,0.5972385406494141,0.5972385406494141,0.5972385406494141,0.5972385406494141,0.5972385406494141
Terminal-Bench All,first_effective_command_head,dfrotz,False,1,1,23.792266845703125,23.792266845703125,23.792266845703125,23.792266845703125,23.792266845703125
Terminal-Bench All,first_effective_command_head,docker,False,1,1,6.1397552490234375,6.1397552490234375,6.1397552490234375,6.1397552490234375,6.1397552490234375
Terminal-Bench All,first_effective_command_head,dpkg,False,1,1,2068.492889404297,2068.492889404297,2068.492889404297,2068.492889404297,2068.492889404297
Terminal-Bench All,first_effective_command_head,dpkg-query,False,1,1,65.43612480163574,65.43612480163574,65.43612480163574,65.43612480163574,65.43612480163574
Terminal-Bench All,first_effective_command_head,du,False,1,1,18.720149993896484,18.720149993896484,18.720149993896484,18.720149993896484,18.720149993896484
Terminal-Bench All,first_effective_command_head,echo,False,9,7,66.74790382385254,7844.868421554571,18927.241563796986,27793.14007759094,30009.61470603943
Terminal-Bench All,first_effective_command_head,env,False,5,1,17060.02712249756,119372.9419708252,120326.8690109253,121090.01064300537,121280.79605102539
Terminal-Bench All,first_effective_command_head,explore_mazes.py,False,1,1,415.6498908996582,415.6498908996582,415.6498908996582,415.6498908996582,415.6498908996582
Terminal-Bench All,first_effective_command_head,export,False,17,6,6814.48221206665,20246.363353729248,24166.583108901967,33771.70105934143,36172.980546951294
Terminal-Bench All,first_effective_command_head,ffmpeg,False,1,1,473.28805923461914,473.28805923461914,473.28805923461914,473.28805923461914,473.28805923461914
Terminal-Bench All,first_effective_command_head,file,False,9,9,5.820512771606445,9.557533264160156,10.473155975341795,11.20565414428711,11.388778686523438
Terminal-Bench All,first_effective_command_head,find,False,19,14,13.168096542358398,657.4924468994137,2968.9100027083937,17025.633769035347,20539.814710617065
Terminal-Bench All,first_effective_command_head,frotz,False,2,2,5.01859188079834,5.666041374206543,5.746972560882568,5.811717510223389,5.827903747558594
Terminal-Bench All,first_effective_command_head,g++,False,1,1,2131.6893100738525,2131.6893100738525,2131.6893100738525,2131.6893100738525,2131.6893100738525
Terminal-Bench All,first_effective_command_head,gcc,False,7,3,429.61788177490234,11070.061874389652,13843.49439144134,16062.240405082697,16616.926908493042
Terminal-Bench All,first_effective_command_head,gdb,False,1,1,349.11084175109863,349.11084175109863,349.11084175109863,349.11084175109863,349.11084175109863
Terminal-Bench All,first_effective_command_head,get_schedules,False,1,1,89.91861343383789,89.91861343383789,89.91861343383789,89.91861343383789,89.91861343383789
Terminal-Bench All,first_effective_command_head,git,False,28,14,68.08733940124512,2602.7452707290677,41135.81471443168,142923.93475532538,173456.0878276825
Terminal-Bench All,first_effective_command_head,grep,False,63,32,9.33527946472168,253.02743911743167,1026.8184185028072,140501.0486269004,300102.30469703674
Terminal-Bench All,first_effective_command_head,head,False,1,1,5.219459533691406,5.219459533691406,5.219459533691406,5.219459533691406,5.219459533691406
Terminal-Bench All,first_effective_command_head,install,False,2,2,913.2465124130249,1630.098032951355,1719.7044730186462,1791.3896250724792,1809.3109130859375
Terminal-Bench All,first_effective_command_head,kill,False,1,1,2290.7910346984863,2290.7910346984863,2290.7910346984863,2290.7910346984863,2290.7910346984863
Terminal-Bench All,first_effective_command_head,ldconfig,False,1,1,1283.048152923584,1283.048152923584,1283.048152923584,1283.048152923584,1283.048152923584
Terminal-Bench All,first_effective_command_head,ls,False,23,18,11.753082275390625,433.9752674102784,3144.249272346492,4995.814800262454,5433.600902557373
Terminal-Bench All,first_effective_command_head,main,False,1,1,6.623029708862305,6.623029708862305,6.623029708862305,6.623029708862305,6.623029708862305
Terminal-Bench All,first_effective_command_head,make,False,10,7,1836.6611003875732,150214.82791900632,187930.16560077659,218102.43574619293,225645.503282547
