corpus,pool_dir,file,trace,instance_id,model,metadata_instance_id,n_llm,n_tool,peak_prompt_tokens,sum_prompt_tokens,sum_completion_tokens,llm_s,tool_s,wall_s,bucket
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__pydata__xarray-9974.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__pydata__xarray-9974.trace.jsonl,pydata__xarray-9974,qwen3.7-max,,25,25,14037,225546,11292,285.8,22.7,308.7,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__steemit__hivemind-255.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__steemit__hivemind-255.trace.jsonl,steemit__hivemind-255,qwen3.7-max,,38,41,26592,653997,7683,277.0,27.1,304.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__XKNX__xknx-406.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__XKNX__xknx-406.trace.jsonl,XKNX__xknx-406,qwen3.7-max,,58,63,32089,1273403,14362,479.3,19.2,499.1,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__joke2k__django-environ-419.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__joke2k__django-environ-419.trace.jsonl,joke2k__django-environ-419,qwen3.7-max,,42,45,25094,680797,14675,408.4,18.2,427.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__koaning__clumper-53.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__koaning__clumper-53.trace.jsonl,koaning__clumper-53,qwen3.7-max,,44,51,30064,695987,27721,652.6,26.1,679.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__adamboche__python-marshmallow-union-29.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__adamboche__python-marshmallow-union-29.trace.jsonl,adamboche__python-marshmallow-union-29,qwen3.7-max,,27,26,12101,197896,7656,218.6,14.9,233.7,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__iterative__dvc-2462.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__iterative__dvc-2462.trace.jsonl,iterative__dvc-2462,qwen3.7-max,,71,93,44765,1720474,79091,2083.8,76.7,2161.5,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__vertica__vertica-python-372.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__vertica__vertica-python-372.trace.jsonl,vertica__vertica-python-372,qwen3.7-max,,34,33,16853,360527,6451,235.8,18.3,254.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__nf-core__tools-3247.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__nf-core__tools-3247.trace.jsonl,nf-core__tools-3247,qwen3.7-max,,76,75,58147,2368398,21178,1658.0,70.6,1729.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__geopandas__geopandas-2858.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__geopandas__geopandas-2858.trace.jsonl,geopandas__geopandas-2858,qwen3.7-max,,33,42,28490,553178,14550,376.3,74.1,450.7,16-32K
