cohort,task_id,tool_name,latency_ms,ts_start,ts_end,cpu_percent,cpu_exclusion_reason
Terminal-Bench All,3d-model-format-legacy,exec,5.820512771606445,1784652581.342759,1784652581.3485794,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,32.750844955444336,1784652586.759668,1784652586.792419,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,33.9665412902832,1784652709.555579,1784652709.5895455,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,38.11383247375488,1784652729.2503862,1784652729.2885,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,0.6067752838134766,1784652805.7406957,1784652805.7413025,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,279.6351909637451,1784652813.9718752,1784652814.2515104,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,1993.2081699371338,1784652821.366788,1784652823.359996,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,74.23901557922363,1784652830.1986008,1784652830.2728398,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,1984.8670959472656,1784652896.5493543,1784652898.5342214,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,43.67208480834961,1784652920.8324916,1784652920.8761637,,call_shorter_than_cpu_threshold
Terminal-Bench All,3d-model-format-legacy,exec,1440.3314590454102,1784652949.4868276,1784652950.927159,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,469.0835475921631,1784705023.094292,1784705023.5633755,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,13.075113296508789,1784705029.0911546,1784705029.1042297,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,34.738779067993164,1784705070.3322768,1784705070.3670156,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,139.01090621948242,1784705082.8822465,1784705083.0212574,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,14.619588851928711,1784705088.2407663,1784705088.2553859,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,1019.6483135223389,1784705095.9399827,1784705096.959631,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,121.2918758392334,1784705114.168458,1784705114.2897499,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,517.2719955444336,1784705120.9875004,1784705121.5047724,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,0.5133152008056641,1784705183.970346,1784705183.9708593,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,2725.2748012542725,1784705198.0469904,1784705200.7722652,,call_shorter_than_cpu_threshold
Terminal-Bench All,accelerate-maximal-square,exec,144.01698112487793,1784705225.4565008,1784705225.6005177,,call_shorter_than_cpu_threshold
Terminal-Bench All,acl-permissions-inheritance,exec,7.962942123413086,1784705301.644528,1784705301.6524909,,call_shorter_than_cpu_threshold
Terminal-Bench All,acl-permissions-inheritance,exec,3.367900848388672,1784705321.6020098,1784705321.6053777,,call_shorter_than_cpu_threshold
Terminal-Bench All,acl-permissions-inheritance,exec,13.85498046875,1784705332.4067674,1784705332.4206223,,call_shorter_than_cpu_threshold
Terminal-Bench All,adaptive-rejection-sampler,exec,3.4770965576171875,1784705379.6486747,1784705379.6521518,,call_shorter_than_cpu_threshold
Terminal-Bench All,adaptive-rejection-sampler,exec,33199.33247566223,1784705382.836996,1784705416.0363286,54.34043204607628,
Terminal-Bench All,adaptive-rejection-sampler,exec,1399.115800857544,1784705529.4763892,1784705530.875505,,call_shorter_than_cpu_threshold
