# Remaining tasks for agent_event_kv_step_level campaign (post-incident resume).
# Order: swe-rebench front-loaded (validates docker bootstrap on this box +
# backfills the 3 Arm A SR tasks that fast-failed before the dataset was cached),
# then Arm B terminal-bench x6 (Arm A TB x6 already complete on disk).
# Generated 2026-06-13. task_id<TAB>benchmark<TAB>extra_cli_args (runner appends --benchmark).
A_max__beeware__briefcase-817	swe-rebench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_max.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids beeware__briefcase-817
A_max__Zulko__moviepy-1329	swe-rebench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_max.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids Zulko__moviepy-1329
A_max__python-graphblas__python-graphblas-217	swe-rebench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_max.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids python-graphblas__python-graphblas-217
B_vote__beeware__briefcase-817	swe-rebench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids beeware__briefcase-817
B_vote__Zulko__moviepy-1329	swe-rebench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids Zulko__moviepy-1329
B_vote__python-graphblas__python-graphblas-217	swe-rebench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids python-graphblas__python-graphblas-217
B_vote__causal-inference-r	terminal-bench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids causal-inference-r
B_vote__fix-git	terminal-bench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids fix-git
B_vote__db-wal-recovery	terminal-bench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids db-wal-recovery
B_vote__cartpole-rl-training	terminal-bench	--provider openai --model Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8 --scaffold openclaw --container docker --mcp-config none --record-internals --max-iterations 100 --temperature 0.7 --top-p 0.8 --top-k 20 --repetition-penalty 1.05 --sparse-attn-config configs/sparse_attention/block_topk_b1024_perhead_vote.yaml --per-head-stats-layers 0,4,9,13,16,18,20,22,25,27,32,38,43,47 --record-per-head-topk --per-head-topk-rank 64 --instance-ids cartpole-rl-training
